id,name,symbol,dedust,stonfi
EQDoxdyFLZPDMXuyQFZAfDY8J18HjxGxaQLKfhKsFjj8lEy6,,,True,False
EQD_aATG7HwXrv42bYqRvIzcFUbcVGnYxKOxYQfvJvQVQAIE,,,True,False
EQCX0EG3GU43xzvli61WShrhm7Def9owntVBEwNRKiF1fD3G,,,True,False
EQAM2KWDp9lN0YvxvfSbI0ryjBXwM70rakpNIHbuETatRWA1,ARBUZ,ARBUZ,True,True
EQCXzO7HhoK5fDQuCONE43l8-Qsreq5zq89ZVNhEna24eK-h,PEPE TON,PEPE,True,True
EQBlgT0CHZnoxdbxdcuvfPGsC96_ql-FhyU0E7fPtR02XnnQ,,,True,False
EQA2SiJpwn-eNsLcDf6WM-rGN01Nao8nR-ehWm_ZI4P6sCmM,,,True,False
EQCf1mINdBu12K7PTLDSuaP46Xave6Wi6gVEVXwHvDqJDTY2,,,True,False
EQDuFHdAQbXK1lzL2j9wzU9lkLwtX0I0f8GTkAN3P_tz7vjj,,,True,True
EQDNT5SnSwCkHb-BmtSHFWayX2pkUgT5YwfaX07IkuqBZVUQ,,,True,False
EQAL6e1UNPFksn8198qOD6KICnplw6f9cMIFuQW3xV9ld3Ro,,,True,True
EQCM1wgeX_1gVYw1I7YEcTMqGIhqpg1q2lHOQGPzCIif2hkR,,,True,True
EQDWDHnRY5WH8yKLLd5TU3e5rDuv32uOJEtVmgkt-r2nU40B,,,True,False
EQDod30za4ahhVfCAlpB9RJywgGsT9rjyP1x7Au4mK4NEnf-,,,True,False
EQDNEX5392WDTLaXW0ia76w0weTW_RWJVipehO-lvZPKMUKQ,,,True,False
EQAbscS8uNoWh4UnyNpNODssjgX03p7e6lDhsykfcwltBYNe,,,True,False
EQDAME0zqccYuELinfcFl3qJy2pEtPIIRQhBRSAzzwiOi9WR,,,True,True
EQDPoDypnD1ZWVn8GkhPKmM6K7vWc74_esO27Rx_ZozzTz--,,,True,True
EQDq8GxdBexPq7BlhgdhWlrrXXIdRD_CCWB58F6l7cwtbXpR,,,True,False
EQBPDXP4m-t26LkmCqAog-58_dSTayaWCOQmRlZbRYjsiyo8,,,True,True
EQBGd9XIQEowbpk72yYY0rfSUtgvtq5hNJz5znBBfbmaqBrI,,,True,False
EQBzv2DKdTaCYQj982PItVUE64SNUkXXWN0TZtA96AykHUjG,,,True,False
EQC8yHKGGPnwqDWr8Ljg6DEGrF4po0qvF9-LH_8jeTaMcsqe,,,True,True
EQC9YOdhf4ZhBKhmQVxRXdp0NKcAXBAZvOz680ElgBTXcSHC,,,True,False
EQAYBDuLdLrjDKR1SUZ60ZuLuSzHDIoE26zZExuB_bjiG0Zr,TON Click,CLICK,True,True
EQCLoyrfSZrOfjbC20ceWtrqxLLVXgCAlyfP-RQ7BjwwLfLP,,,True,False
EQDaWpX1mgA4bsgSSy-BMUuqU29jH8YbCTnJmjtn6SFeCLp2,,,True,True
EQBnIRQvtpsaIXIHmfRXiHicsEnjERpO7OnbxmvR8vR5JeVm,,,True,False
EQDRw-Z8l441NCTk2i5ByW4LI6iJChRraxn7z-Clh_MDkpWV,,,True,True
EQAC522vmhQBFFBYPk58hVXDcvILeYk2zWjR3z7YkSYB7ElZ,,,True,False
EQA2IyKaO7fKV37GxQGbRY_yZdE47ZdQXbOnX55OWhCwbL6H,GROK,GROK,True,True
EQAtRgeTxr2kT-sPtNxYyi3KgCAm30z0PhYRoCJ-2_QSYm8h,,,True,False
EQAfv3WeeMkrvHkLxaxtttjCr0aifDQ8qaSG4W0EQXQ-TXyN,,,True,False
EQDv9rSPk1VmarsSKfebFJCBlVk11p-wCiSdhxmuGKc9MbhF,,,True,False
EQApbrrNNMe6b1XYIKUETOkXS09dQrNzEIgiOs73wNtvw-a5,,,True,True
EQApibBYYxOuwEWNOFwjRXi6AntKV7_vuVFxk1oJA5hVCC98,,,True,False
EQBu1W1Zu4DOAQp0620BmB4mf_k_LrmfBkK6BCt4Vk3dvhbg,,,True,False
EQBn6lPDyiM1meAZXPOWoq9-DQdZ2WnQy_DFOhJZIIBI4Zao,,,True,False
EQDOh01wsULC7DL53TTuSXxzDOJFtrWwerQwfy8DU-QA6Sxs,,,True,False
EQCO5aL5a9AyQek4G-xcxEt-LxiiPSmOGBA5tsDZwKdzVGUT,,,True,False
EQDVlLdMaxEkI6fxcrziwWA6pt91e__9qjj4GzAvmQI1z0jb,,,True,False
EQDQUd9oPqZ2OTCq2jzcMQcg75GW9r5CG2o9vSkjxeW2NRVX,,,True,False
EQDCc-nA6BFOQxkSDd6ghh2JxR0kLTh1GI6PsdCEpk0EI5fl,,,True,False
EQBEl4ZV-0o2o-15m2wvVr1v2KD1XuZKNqPAEEiYIGSTnuTx,,,True,False
EQByaswTy15Daz2jygGttYdWPUg222JBX4J0lWpjHLEsWVlS,,,True,False
EQDREXM-ikZMogwOz4Q3Pnkeu1xHUEbah1OF_elH4qtBZKaK,,,True,False
EQCI2eCgp0iI8JIjGBQCkMw1sIYdKc0XUkvaMdJbnHvcJJXN,,,True,True
EQBJOJ2eL_CUFT_0r9meoqjKUwRttC_-NUJyvWQxszVWe1WY,Petcoin,PET,True,True
EQBru8WSCLIdskh-Rh8-BFPn20s7nCGtK8k5Mr8CUTVod2Mk,,,True,True
EQBsf1esy5LScIEv6hmJTq83owWIReaa33rLtj_iPtTlp3zw,,,True,False
EQABkU8-m_3T7qdfF-bXkcOn6O4PRmKEJbwu8VLoDGtxrLGO,,,True,False
EQCAFA0pzgtFpZr5oPJgWusrD9kt49attWgkvSED_eV6CKU-,,,True,False
