source,target,label
0,863,-36.726015356300934
0,6586,
0,1112,11.601263795451954
0,629,12.159466125257863
0,5763,-51.72137599418337
0,2733,-8.997179480937621
0,6627,19.925787665218436
0,1581,-32.78991670987149
0,3472,-5.484602754168266
0,6651,-18.57229977256305
0,345,9.965784284662087
0,6670,-8.848622940429339
0,6685,-69.30288378213122
0,1073,-18.333530730781767
0,534,-15.923451072958395
0,5762,-3.321928094887362
0,3047,-9.965784284662087
0,1511,-15.856582754971555
0,3851,23.70328441523972
0,6802,
0,6824,-9.965784284662087
0,1903,-46.46197010513586
0,373,-8.270093276965207
0,621,-20.858955530554773
0,439,-1.8699881994347438
0,6912,3.270019297174763
0,1799,-17.663054779480213
0,1685,-12.58180457672199
0,3670,-9.841564347730575
0,6999,-6.761003665226827
0,7014,-15.193161322039625
0,3233,-23.878556679119626
0,343,-8.290018846932618
0,7065,-10.640308861911619
0,1300,-9.82972273809167
0,3491,-9.606592784891978
0,760,-2.832244090470603
0,2376,-6.643856189774724
0,3214,1.4848565860788554
0,1894,-12.877636938674293
0,615,-13.531165471413287
0,1510,-8.264442600226602
0,4380,-11.884694676093982
0,7196,
0,7204,
0,1095,-11.15741778847232
0,4447,8.380821783940931
0,7149,-12.265518272968981
0,3600,-13.664790159178406
0,6188,-8.900866807980748
0,7307,-16.605971583799302
0,1404,-17.774982167251363
0,6706,-12.245627199619552
0,2357,-21.038307711203547
0,7427,-8.996588913553381
0,68,-3.464323244416466
0,1487,23.626422337698052
0,1760,-11.360833802284015
0,1283,-3.8612256280693913
0,7223,
0,5747,-16.603875503537008
0,2191,-25.04085736110795
0,7564,
0,3,7.396978169847207
0,1096,-23.890522642758107
0,430,9.560180217734594
0,3341,-8.794415866350105
0,2857,-9.597686552217052
0,1700,-8.526181383297
0,1006,-12.114718389188425
0,5979,14.852273759416722
0,3289,-13.054815412999924
0,4116,-49.8512889143227
0,4520,-13.028755320861128
0,7725,
0,1356,-10.515854051741636
0,6037,-14.668745658711051
0,7808,-10.255998273881834
0,7816,-13.594907723063335
0,196,-16.55499212120022
0,7823,-5.058893689053568
0,2094,2.3256434958140084
0,2399,-41.8848907253356
0,7751,-52.43554099658439
0,7251,
0,5685,-7.729756568057979
0,4750,-12.686500527183219
0,4554,-17.003924117981537
0,8015,-9.909893083770042
0,4026,-9.763639513207636
0,5592,-9.929258408636972
0,536,-25.092362890253003
0,6515,-3.470761413693989
0,3118,-9.04419927344362
0,2400,-31.62910778059798
0,5402,26.569642522384008
0,3221,
0,4231,-15.32481917605381
0,1207,-13.613907781311212
0,727,-1.7395783247246552
0,2536,-10.265574948754173
0,697,-8.380821783940931
0,5757,-10.32024090584368
0,64,-9.5306176126286
0,916,-11.971209526738086
0,7683,-7.592457037268081
0,7243,-11.620558824100419
0,467,-17.373867716509587
0,8331,2.2059712813993797
0,8339,
0,5179,-10.322754831322559
0,8371,-1.7274408187415757
0,5649,-12.336878899154025
0,6807,-9.874981347653774
0,1695,-29.24698656980596
0,4274,11.826615929530206
0,1338,-13.846551995608746
0,3480,0.634214379234526
0,677,-22.928982323097376
0,1233,-0.006996325652290716
0,7811,29.89159356260126
0,8570,-29.715201882767207
0,2113,-17.751801933058903
0,8621,-19.046966272688067
0,7069,9.965784284662087
0,8632,-9.338814310846999
0,5009,-9.965784284662087
0,7576,-11.167418145831737
0,8733,-9.965784284662087
0,8155,-21.035554068260044
0,2911,-20.26564430721286
0,8790,-21.60304827304692
0,6584,-23.293111837350736
0,5263,10.192427912436086
0,8817,-12.540135352724812
0,2815,-11.164906926675688
